date,year,importer,origin,iso3,region,latitude,longitude,product_code,product,trade_value_1000usd,trade_value_musd,quantity_kg,quantity_tonnes,unit_value_usd_per_kg,source,source_url
2019-01-01,2019,Australia,Brazil,BRA,Americas,-14.235,-51.9253,090111,"Coffee, not roasted or decaffeinated",58727.46,58.727,21405700,21405.7,2.74,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2019/tradeflow/Imports/partner/ALL/product/090111
2019-01-01,2019,Australia,Colombia,COL,Americas,4.5709,-74.2973,090111,"Coffee, not roasted or decaffeinated",41990.48,41.99,11053500,11053.5,3.8,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2019/tradeflow/Imports/partner/ALL/product/090111
2019-01-01,2019,Australia,Vietnam,VNM,Asia-Pacific,14.0583,108.2772,090111,"Coffee, not roasted or decaffeinated",30628.96,30.629,17285000,17285.0,1.77,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2019/tradeflow/Imports/partner/ALL/product/090111
2019-01-01,2019,Australia,Papua New Guinea,PNG,Asia-Pacific,-6.315,143.9555,090111,"Coffee, not roasted or decaffeinated",19181.32,19.181,6603030,6603.0,2.9,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2019/tradeflow/Imports/partner/ALL/product/090111
2019-01-01,2019,Australia,Honduras,HND,Americas,15.2,-86.2419,090111,"Coffee, not roasted or decaffeinated",18225.85,18.226,6133850,6133.8,2.97,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2019/tradeflow/Imports/partner/ALL/product/090111
2022-01-01,2022,Australia,Brazil,BRA,Americas,-14.235,-51.9253,090111,"Coffee, not roasted or decaffeinated",132012.16,132.012,26277800,26277.8,5.02,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2022/tradeflow/Imports/partner/ALL/product/090111
2022-01-01,2022,Australia,Colombia,COL,Americas,4.5709,-74.2973,090111,"Coffee, not roasted or decaffeinated",67888.09,67.888,10389400,10389.4,6.53,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2022/tradeflow/Imports/partner/ALL/product/090111
2022-01-01,2022,Australia,Vietnam,VNM,Asia-Pacific,14.0583,108.2772,090111,"Coffee, not roasted or decaffeinated",50464.98,50.465,21228900,21228.9,2.38,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2022/tradeflow/Imports/partner/ALL/product/090111
2022-01-01,2022,Australia,Honduras,HND,Americas,15.2,-86.2419,090111,"Coffee, not roasted or decaffeinated",44400.38,44.4,8206220,8206.2,5.41,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2022/tradeflow/Imports/partner/ALL/product/090111
2022-01-01,2022,Australia,Papua New Guinea,PNG,Asia-Pacific,-6.315,143.9555,090111,"Coffee, not roasted or decaffeinated",38362.53,38.363,7185430,7185.4,5.34,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2022/tradeflow/Imports/partner/ALL/product/090111
2023-01-01,2023,Australia,Brazil,BRA,Americas,-14.235,-51.9253,090111,"Coffee, not roasted or decaffeinated",112085.05,112.085,25092500,25092.5,4.47,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2023/tradeflow/Imports/partner/ALL/product/090111
2023-01-01,2023,Australia,Colombia,COL,Americas,4.5709,-74.2973,090111,"Coffee, not roasted or decaffeinated",63675.08,63.675,10989600,10989.6,5.79,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2023/tradeflow/Imports/partner/ALL/product/090111
2023-01-01,2023,Australia,Honduras,HND,Americas,15.2,-86.2419,090111,"Coffee, not roasted or decaffeinated",38886.62,38.887,7684420,7684.4,5.06,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2023/tradeflow/Imports/partner/ALL/product/090111
2023-01-01,2023,Australia,Papua New Guinea,PNG,Asia-Pacific,-6.315,143.9555,090111,"Coffee, not roasted or decaffeinated",35246.98,35.247,7957620,7957.6,4.43,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2023/tradeflow/Imports/partner/ALL/product/090111
2023-01-01,2023,Australia,Vietnam,VNM,Asia-Pacific,14.0583,108.2772,090111,"Coffee, not roasted or decaffeinated",32196.75,32.197,12459700,12459.7,2.58,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2023/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Brazil,BRA,Americas,-14.235,-51.9253,090111,"Coffee, not roasted or decaffeinated",127690.92,127.691,28756200,28756.2,4.44,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Colombia,COL,Americas,4.5709,-74.2973,090111,"Coffee, not roasted or decaffeinated",65075.18,65.075,11076400,11076.4,5.88,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Vietnam,VNM,Asia-Pacific,14.0583,108.2772,090111,"Coffee, not roasted or decaffeinated",54405.32,54.405,14154200,14154.2,3.84,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Papua New Guinea,PNG,Asia-Pacific,-6.315,143.9555,090111,"Coffee, not roasted or decaffeinated",36455.01,36.455,7755760,7755.8,4.7,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Honduras,HND,Americas,15.2,-86.2419,090111,"Coffee, not roasted or decaffeinated",29616.88,29.617,6074940,6074.9,4.88,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Ethiopia,ETH,Africa,9.145,40.4897,090111,"Coffee, not roasted or decaffeinated",27095.85,27.096,4729220,4729.2,5.73,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,India,IND,Asia-Pacific,20.5937,78.9629,090111,"Coffee, not roasted or decaffeinated",22552.24,22.552,4946750,4946.8,4.56,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Indonesia,IDN,Asia-Pacific,-0.7893,113.9213,090111,"Coffee, not roasted or decaffeinated",21766.98,21.767,3936800,3936.8,5.53,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Peru,PER,Americas,-9.19,-75.0152,090111,"Coffee, not roasted or decaffeinated",14998.84,14.999,2699220,2699.2,5.56,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Nicaragua,NIC,Americas,12.8654,-85.2072,090111,"Coffee, not roasted or decaffeinated",11703.34,11.703,2098920,2098.9,5.58,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Kenya,KEN,Africa,-0.0236,37.9062,090111,"Coffee, not roasted or decaffeinated",11174.17,11.174,2002910,2002.9,5.58,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Guatemala,GTM,Americas,15.7835,-90.2308,090111,"Coffee, not roasted or decaffeinated",10848.77,10.849,1833790,1833.8,5.92,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Costa Rica,CRI,Americas,9.7489,-83.7534,090111,"Coffee, not roasted or decaffeinated",6046.44,6.046,1014130,1014.1,5.96,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,Mexico,MEX,Americas,23.6345,-102.5528,090111,"Coffee, not roasted or decaffeinated",4942.02,4.942,884907,884.9,5.58,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
2024-01-01,2024,Australia,El Salvador,SLV,Americas,13.7942,-88.8965,090111,"Coffee, not roasted or decaffeinated",4844.5,4.844,810739,810.7,5.98,World Bank WITS / UN Comtrade,https://wits.worldbank.org/trade/comtrade/en/country/AUS/year/2024/tradeflow/Imports/partner/ALL/product/090111
