source,target,value,note (for reference only)
<18 years old,Pourover,5,Layer 1: Age → Drink
<18 years old,Latte,8,Layer 1: Age → Drink
<18 years old,Regular drip coffee,2,Layer 1: Age → Drink
<18 years old,Cappuccino,1,Layer 1: Age → Drink
<18 years old,Espresso,1,Layer 1: Age → Drink
<18 years old,Other,2,Layer 1: Age → Drink
18-24 years old,Pourover,103,Layer 1: Age → Drink
18-24 years old,Latte,81,Layer 1: Age → Drink
18-24 years old,Regular drip coffee,36,Layer 1: Age → Drink
18-24 years old,Cappuccino,32,Layer 1: Age → Drink
18-24 years old,Espresso,38,Layer 1: Age → Drink
18-24 years old,Cortado,40,Layer 1: Age → Drink
18-24 years old,Americano,26,Layer 1: Age → Drink
18-24 years old,Iced coffee,30,Layer 1: Age → Drink
18-24 years old,Mocha,21,Layer 1: Age → Drink
18-24 years old,Other,41,Layer 1: Age → Drink
25-34 years old,Pourover,566,Layer 1: Age → Drink
25-34 years old,Latte,347,Layer 1: Age → Drink
25-34 years old,Regular drip coffee,196,Layer 1: Age → Drink
25-34 years old,Cappuccino,168,Layer 1: Age → Drink
25-34 years old,Espresso,158,Layer 1: Age → Drink
25-34 years old,Cortado,172,Layer 1: Age → Drink
25-34 years old,Americano,111,Layer 1: Age → Drink
25-34 years old,Iced coffee,82,Layer 1: Age → Drink
25-34 years old,Mocha,51,Layer 1: Age → Drink
25-34 years old,Other,120,Layer 1: Age → Drink
35-44 years old,Pourover,273,Layer 1: Age → Drink
35-44 years old,Latte,152,Layer 1: Age → Drink
35-44 years old,Regular drip coffee,95,Layer 1: Age → Drink
35-44 years old,Cappuccino,84,Layer 1: Age → Drink
35-44 years old,Espresso,84,Layer 1: Age → Drink
35-44 years old,Cortado,73,Layer 1: Age → Drink
35-44 years old,Americano,75,Layer 1: Age → Drink
35-44 years old,Iced coffee,29,Layer 1: Age → Drink
35-44 years old,Mocha,26,Layer 1: Age → Drink
35-44 years old,Other,63,Layer 1: Age → Drink
45-54 years old,Pourover,78,Layer 1: Age → Drink
45-54 years old,Latte,46,Layer 1: Age → Drink
45-54 years old,Regular drip coffee,41,Layer 1: Age → Drink
45-54 years old,Cappuccino,31,Layer 1: Age → Drink
45-54 years old,Espresso,27,Layer 1: Age → Drink
45-54 years old,Cortado,15,Layer 1: Age → Drink
45-54 years old,Americano,25,Layer 1: Age → Drink
45-54 years old,Iced coffee,8,Layer 1: Age → Drink
45-54 years old,Mocha,11,Layer 1: Age → Drink
45-54 years old,Other,17,Layer 1: Age → Drink
55-64 years old,Pourover,38,Layer 1: Age → Drink
55-64 years old,Latte,32,Layer 1: Age → Drink
55-64 years old,Regular drip coffee,40,Layer 1: Age → Drink
55-64 years old,Cappuccino,17,Layer 1: Age → Drink
55-64 years old,Espresso,13,Layer 1: Age → Drink
55-64 years old,Cortado,8,Layer 1: Age → Drink
55-64 years old,Americano,10,Layer 1: Age → Drink
55-64 years old,Iced coffee,6,Layer 1: Age → Drink
55-64 years old,Mocha,6,Layer 1: Age → Drink
55-64 years old,Other,14,Layer 1: Age → Drink
>65 years old,Pourover,17,Layer 1: Age → Drink
>65 years old,Latte,13,Layer 1: Age → Drink
>65 years old,Regular drip coffee,32,Layer 1: Age → Drink
>65 years old,Cappuccino,8,Layer 1: Age → Drink
>65 years old,Espresso,8,Layer 1: Age → Drink
>65 years old,Cortado,2,Layer 1: Age → Drink
>65 years old,Americano,1,Layer 1: Age → Drink
>65 years old,Iced coffee,1,Layer 1: Age → Drink
>65 years old,Mocha,3,Layer 1: Age → Drink
>65 years old,Other,9,Layer 1: Age → Drink
Pourover,Black,983,Layer 2: Drink → Add-ins
Pourover,Milk / Creamer,168,Layer 2: Drink → Add-ins
Pourover,Sugar / Sweetener,40,Layer 2: Drink → Add-ins
Pourover,Flavor Syrup,3,Layer 2: Drink → Add-ins
Latte,Black,199,Layer 2: Drink → Add-ins
Latte,Milk / Creamer,566,Layer 2: Drink → Add-ins
Latte,Sugar / Sweetener,158,Layer 2: Drink → Add-ins
Latte,Flavor Syrup,120,Layer 2: Drink → Add-ins
Regular drip coffee,Black,316,Layer 2: Drink → Add-ins
Regular drip coffee,Milk / Creamer,133,Layer 2: Drink → Add-ins
Regular drip coffee,Sugar / Sweetener,63,Layer 2: Drink → Add-ins
Regular drip coffee,Flavor Syrup,1,Layer 2: Drink → Add-ins
Cappuccino,Black,167,Layer 2: Drink → Add-ins
Cappuccino,Milk / Creamer,228,Layer 2: Drink → Add-ins
Cappuccino,Sugar / Sweetener,53,Layer 2: Drink → Add-ins
Cappuccino,Flavor Syrup,18,Layer 2: Drink → Add-ins
Espresso,Black,300,Layer 2: Drink → Add-ins
Espresso,Milk / Creamer,77,Layer 2: Drink → Add-ins
Espresso,Sugar / Sweetener,18,Layer 2: Drink → Add-ins
Espresso,Flavor Syrup,3,Layer 2: Drink → Add-ins
Cortado,Black,222,Layer 2: Drink → Add-ins
Cortado,Milk / Creamer,153,Layer 2: Drink → Add-ins
Cortado,Sugar / Sweetener,16,Layer 2: Drink → Add-ins
Cortado,Flavor Syrup,5,Layer 2: Drink → Add-ins
Americano,Black,211,Layer 2: Drink → Add-ins
Americano,Milk / Creamer,50,Layer 2: Drink → Add-ins
Americano,Sugar / Sweetener,21,Layer 2: Drink → Add-ins
Americano,Flavor Syrup,4,Layer 2: Drink → Add-ins
Iced coffee,Black,64,Layer 2: Drink → Add-ins
Iced coffee,Milk / Creamer,99,Layer 2: Drink → Add-ins
Iced coffee,Sugar / Sweetener,42,Layer 2: Drink → Add-ins
Iced coffee,Flavor Syrup,23,Layer 2: Drink → Add-ins
Mocha,Black,43,Layer 2: Drink → Add-ins
Mocha,Milk / Creamer,79,Layer 2: Drink → Add-ins
Mocha,Sugar / Sweetener,39,Layer 2: Drink → Add-ins
Mocha,Flavor Syrup,19,Layer 2: Drink → Add-ins
Other,Black,143,Layer 2: Drink → Add-ins
Other,Milk / Creamer,141,Layer 2: Drink → Add-ins
Other,Sugar / Sweetener,62,Layer 2: Drink → Add-ins
Other,Flavor Syrup,33,Layer 2: Drink → Add-ins
